,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
29,30,PO-11-069,15.3,18.0,204605.35,8397094.5,4234.025,2.7,0.381,0.019,4.6,0.084,0.021,0.154,2.38,50.0,6.45,28.33,0.68,2.0,0.05,0.83,0.012,0.045,0.03,0.15,Hipógeno,5,Skarn,121.74,15.26,3,Skarn,MX-MV013,0.0
30,31,PO-11-060,21.0,24.0,204631.22,8397186.4,4261.847,3.0,0.408,0.465,4.0,0.751,0.012,0.062,3.98,90.0,13.72,7.378,1.43,3.0,0.03,0.67,0.012,0.03,0.03,0.1,Hipógeno,5,Skarn,61.79,12.86,3,Skarn,MX-MV014,0.0
31,32,PO-11-072,42.0,46.0,204657.09,8397278.3,4289.669,4.0,2.02,0.005,11.1,0.563,0.025,0.151,2.72,470.0,8.66,17.05,1.15,3.0,0.05,1.99,0.111,0.337,0.05,0.22,Hipógeno,5,Skarn,83.76,12.87,3,Skarn,MX-MV015,0.0
32,33,PO-11-073,18.5,23.9,204682.96,8397370.2,4317.491,5.4,0.135,0.005,1.2,0.108,0.007,0.052,4.39,30.0,8.9,12.58,1.46,2.0,0.34,0.15,0.031,0.046,0.23,0.57,Mixto,5,Skarn,90.9,12.44,3,Skarn,MX-MV016,1.0
33,34,PO-11-079,105.0,108.0,204708.83,8397462.1,4345.313,3.0,0.292,0.042,11.8,0.501,0.046,0.059,8.45,80.0,6.3,3.355,2.53,1.0,1.72,0.3,0.025,0.077,0.09,0.35,Mixto,4,Endoskarn,137.97,19.86,3,Skarn,MX-MV017,0.0
34,35,PO-11-085,57.0,60.0,204734.7,8397554.0,4373.135,3.0,0.16,0.025,1.3,0.049,0.008,0.082,0.78,30.0,5.68,34.71,0.1,2.0,0.03,0.2,0.006,0.02,0.04,0.16,Hipógeno,5,Skarn,111.73,17.52,3,Skarn,MX-MV018,0.0
35,36,PO-11-088,31.0,35.0,204760.57,8397645.9,4400.957,4.0,0.584,0.008,1.7,0.243,0.002,0.018,2.37,30.0,14.47,18.45,1.29,2.0,0.22,0.27,0.306,0.056,0.52,0.62,Oxido,5,Skarn,38.27,10.59,3,Skarn,MX-MV019,0.0
36,37,PO-11-096,14.6,18.0,204786.44,8397737.8,4428.779,3.4,0.33,0.006,2.5,0.236,0.011,0.107,2.17,40.0,3.24,40.63,0.12,2.0,0.12,2.36,0.174,0.039,0.53,0.65,Oxido,5,Skarn,41.92,16.39,3,Skarn,MX-MV020,0.0
37,38,PO-10-021,36.0,40.0,204812.31,8397829.7,4456.601,4.0,0.093,0.004,0.6,0.235,0.002,0.017,4.1,70.0,8.4,16.02,1.54,5.0,0.71,0.13,0.022,0.039,0.24,0.66,Mixto,5,Skarn,137.36,11.2,3,Skarn,MX-MV021,1.0
38,39,PO-12-117,3.0,6.5,204838.18,8397921.6,4484.423,3.5,0.29,0.012,2.4,0.048,0.013,0.096,5.11,150.0,9.67,12.7,1.41,2.0,0.1,0.43,0.098,0.051,0.34,0.51,Mixto,5,Skarn,77.86,10.68,3,Skarn,MX-MV022,0.0
